area,Year,Rooms,Location,Price,Floor
345,1395,4, Saadat Abad,650000000000.0,6.0
118,1386,3, Sohravardi,14500000000.0,4.0
137,1400,2, Jorq,21500000000.0,4.0
105,1400,2, Darband,13500000000.0,2.0
43,1393,1, Lashkar,2830000000.0,2.0
86,1394,2, Jannat Abad Markazi,10500000000.0,2.0
63,1383,2, Jannat Abad Markazi,6610000000.0,2.0
202,1402,3, Saadat Abad,4000000000000.0,5.0
235,1402,3, Saadat Abad,700000000000.0,4.0
165,1402,3, Persian Gulf Martyrs Lake,11500000000.0,12.0
106,1402,2, Ostad Moein,8160000000.0,3.0
235,1401,3, Koohak,30550000000.0,19.0
240,1395,3, Daroos,48000000000.0,3.0
190,1384,3, Daroos,31000000000.0,2.0
93,1393,2, Daroos,17650000000.0,0.0
160,1397,3, Saadat Abad,269990000000.0,2.0
130,1398,2, Persian Gulf Martyrs Lake,14500000000.0,19.0
122,1385,2, Pasdaran,14000000000.0,2.0
250,1402,4, Persian Gulf Martyrs Lake,5500000000.0,18.0
150,1401,3, Saadat Abad,30000000000000.0,5.0
61,1382,1, Ghonat Koosar,4500000000.0,0.0
92,1381,2, Abazar,6500000000.0,3.0
70,1392,1, Na'mat Abad,24500000000.0,0.0
47,1397,1, Jeyhoon,3120000000.0,1.0
72,1391,2, Tehranpars Sharqi,51000000000.0,5.0
140,1397,3, Daroos,24800000000.0,2.0
96,1397,2, Zanjan,63500000000.0,1.0
115,1402,3, Dilman,930000000000.0,3.0
88,1392,2, Azgol,21000000000.0,3.0
58,1383,2, Kuy-e Ferdows,5650000000.0,0.0
54,1381,1, Kuy-e Ferdows,4800000000.0,0.0
57,1387,1, Sazman-e Barnama,5200000000.0,0.0
67,1402,1, Poonak,8980000000.0,3.0
73,1400,2, Farmanieh,11500000000.0,2.0
114,1400,2, Sohanak,14800000000.0,2.0
85,1400,2, Hakimiyeh,105000000.0,0.0
120,1394,2, Persian Gulf Martyrs Lake,83000000.0,0.0
60,1377,1, Khani Abad-e Now,58000000.0,0.0
176,1400,3, Marzdaran,33000000000.0,3.0
116,1386,3, Shahran-e Jonubi,1220000000.0,5.0
82,1380,2, Azerbaijan,42500000.0,1.0
128,1392,3, Ivanak,218000000.0,3.0
107,1393,2, Poonak,126000000.0,5.0
75,1388,2, Afsarieh,45000000.0,0.0
50,1382,1, Ji,285000000.0,3.0
182,1400,3, Jannat Abad Markazi,228000000.0,3.0
68,1380,2, Poonak,63000000.0,0.0
260,1384,4, Farmanieh,3800000000.0,6.0
46,1395,1, Jeyhoon,310000000.0,4.0
106,1400,2, Persian Gulf Martyrs Lake,1060000000.0,7.0
78,1385,2, Kuy-e Ferdows,79500000.0,1.0
98,1395,2, Jannat Abad Jonubi,960000000.0,3.0
53,1376,1, Tehranpars Sharqi,42500000.0,0.0
168,1370,2, Abbas Abad,1650000000.0,0.0
170,1397,3, Niavaran,420000000.0,1.0
79,1393,2, Kuy-e Ferdows,80000000.0,4.0
88,1385,2, Shahrek-e Parvaz,70000000.0,4.0
140,1396,2, Shahrek-e Shahid Baqeri,973000000.0,3.0
225,1388,3, Zaferanieh,52875000000.0,6.0
54,1380,1, Jeyhoon,360000000.0,1.0
96,1389,2, Poonak,99000000.0,1.0
148,1401,3, Salsabil,120000000.0,0.0
